gameId,season_year,home_win,home_team,home_last_5_win_pct,home_offensive_average,home_defensive_average,home_last_5_point_diff,away_season_year,away_home_win,away_team,away_last_5_win_pct,away_offensive_average,away_defensive_average,away_last_5_point_diff,win_pct_diff,offense_diff,defense_diff,point_diff_diff
22001049,2021,1,Atlanta Hawks,0.8,125.8,118.0,7.8,2021,1,Orlando Magic,0.2,105.0,121.6,-16.6,0.6000000000000001,20.799999999999997,-3.5999999999999943,24.400000000000002
22001066,2021,1,Atlanta Hawks,0.8,124.4,113.8,10.6,2021,1,Houston Rockets,0.2,124.4,128.8,-4.4,0.6000000000000001,0.0,-15.000000000000014,15.0
42000133,2021,1,Atlanta Hawks,0.8,111.8,102.0,9.8,2021,1,New York Knicks,0.8,104.4,99.6,4.8,0.0,7.3999999999999915,2.4000000000000057,5.000000000000001
42000134,2021,1,Atlanta Hawks,0.8,108.8,97.6,11.2,2021,1,New York Knicks,0.6,102.8,101.0,1.8,0.20000000000000007,6.0,-3.4000000000000057,9.399999999999999
42000203,2021,0,Atlanta Hawks,0.8,110.2,104.2,6.0,2021,0,Philadelphia 76ers,0.6,123.4,113.4,10.0,0.20000000000000007,-13.200000000000003,-9.200000000000003,-4.0
42000204,2021,1,Atlanta Hawks,0.6,111.4,110.8,0.6,2021,1,Philadelphia 76ers,0.6,122.4,115.0,7.4,0.0,-11.0,-4.200000000000003,-6.800000000000001
42000206,2021,0,Atlanta Hawks,0.6,110.6,115.0,-4.4,2021,0,Philadelphia 76ers,0.4,115.0,110.6,4.4,0.19999999999999996,-4.400000000000006,4.400000000000006,-8.8
42000303,2021,0,Atlanta Hawks,0.6,103.6,108.8,-5.2,2021,0,Milwaukee Bucks,0.6,113.0,104.2,8.8,0.0,-9.400000000000006,4.599999999999994,-14.0
42000304,2021,1,Atlanta Hawks,0.4,102.2,110.2,-8.0,2021,1,Milwaukee Bucks,0.8,114.0,101.8,12.2,-0.4,-11.799999999999997,8.400000000000006,-20.2
42000306,2021,0,Atlanta Hawks,0.4,106.2,112.4,-6.2,2021,0,Milwaukee Bucks,0.6,112.4,106.2,6.2,-0.19999999999999996,-6.200000000000003,6.200000000000003,-12.4
12100016,2021,0,Atlanta Hawks,0.2,106.0,113.4,-7.4,2021,0,Cleveland Cavaliers,0.2,102.6,115.8,-13.2,0.0,3.4000000000000057,-2.3999999999999915,5.799999999999999
12100055,2021,1,Atlanta Hawks,0.2,101.0,110.4,-9.4,2021,1,Miami Heat,0.8,110.8,106.6,4.2,-0.6000000000000001,-9.799999999999997,3.8000000000000114,-13.600000000000001
22100014,2021,1,Atlanta Hawks,0.4,104.0,104.2,-0.2,2021,1,Dallas Mavericks,0.8,117.0,100.6,16.4,-0.4,-13.0,3.6000000000000085,-16.599999999999998
22100043,2021,1,Atlanta Hawks,0.6,104.4,93.2,11.2,2021,1,Detroit Pistons,0.2,94.8,106.8,-12.0,0.39999999999999997,9.600000000000009,-13.599999999999994,23.2
22100097,2021,1,Atlanta Hawks,0.4,104.8,109.6,-4.8,2021,1,Washington Wizards,0.8,115.6,113.6,2.0,-0.4,-10.799999999999997,-4.0,-6.8
22100120,2021,0,Atlanta Hawks,0.4,106.6,114.2,-7.6,2021,0,Utah Jazz,0.8,113.8,103.2,10.6,-0.4,-7.200000000000003,11.0,-18.2
22100193,2021,1,Atlanta Hawks,0.0,104.4,115.8,-11.4,2021,1,Milwaukee Bucks,0.4,107.0,109.0,-2.0,-0.4,-2.5999999999999943,6.799999999999997,-9.4
22100202,2021,1,Atlanta Hawks,0.2,108.8,112.6,-3.8,2021,1,Orlando Magic,0.2,91.4,104.2,-12.8,0.0,17.39999999999999,8.399999999999991,9.0
22100215,2021,1,Atlanta Hawks,0.4,111.2,110.6,0.6,2021,1,Boston Celtics,0.6,103.4,98.2,5.2,-0.19999999999999996,7.799999999999997,12.399999999999991,-4.6000000000000005
22100242,2021,1,Atlanta Hawks,0.6,110.6,105.0,5.6,2021,1,Charlotte Hornets,1.0,109.2,102.2,7.0,-0.4,1.3999999999999915,2.799999999999997,-1.4000000000000004
22100255,2021,1,Atlanta Hawks,0.8,114.0,104.0,10.0,2021,1,Oklahoma City Thunder,0.2,96.2,103.8,-7.6,0.6000000000000001,17.799999999999997,0.20000000000000284,17.6
22100293,2021,0,Atlanta Hawks,1.0,118.8,102.2,16.6,2021,0,New York Knicks,0.4,102.0,106.0,-4.0,0.6,16.799999999999997,-3.799999999999997,20.6
22100335,2021,0,Atlanta Hawks,0.8,114.6,103.4,11.2,2021,0,Philadelphia 76ers,0.4,101.2,103.0,-1.8,0.4,13.399999999999991,0.4000000000000057,13.0
22100350,2021,0,Atlanta Hawks,0.6,111.2,102.8,8.4,2021,0,Charlotte Hornets,0.4,125.2,124.0,1.2,0.19999999999999996,-14.0,-21.200000000000003,7.2
22100384,2021,0,Atlanta Hawks,0.4,109.6,109.6,0.0,2021,0,Brooklyn Nets,0.6,107.0,107.8,-0.8,-0.19999999999999996,2.5999999999999943,1.7999999999999972,0.8
22100407,2021,0,Atlanta Hawks,0.4,112.6,112.4,0.2,2021,0,Houston Rockets,0.6,114.0,112.8,1.2,-0.19999999999999996,-1.4000000000000057,-0.3999999999999915,-1.0
22100434,2021,0,Atlanta Hawks,0.4,118.0,116.8,1.2,2021,0,Denver Nuggets,0.6,115.6,116.0,-0.4,-0.19999999999999996,2.4000000000000057,0.7999999999999972,1.6
22100470,2021,0,Atlanta Hawks,0.4,115.6,117.4,-1.8,2021,0,Orlando Magic,0.2,100.4,106.2,-5.8,0.2,15.199999999999989,11.200000000000003,4.0
22100502,2021,0,Atlanta Hawks,0.4,101.8,106.6,-4.8,2021,0,Chicago Bulls,0.6,109.0,113.2,-4.2,-0.19999999999999996,-7.200000000000003,-6.6000000000000085,-0.5999999999999996
22100621,2022,0,Atlanta Hawks,0.4,114.2,119.2,-5.0,2022,0,Miami Heat,0.6,115.8,109.8,6.0,-0.19999999999999996,-1.5999999999999943,9.400000000000006,-11.0
22100643,2022,0,Atlanta Hawks,0.2,105.6,116.2,-10.6,2022,0,New York Knicks,0.8,101.2,95.8,5.4,-0.6000000000000001,4.3999999999999915,20.400000000000006,-16.0
22100660,2022,1,Atlanta Hawks,0.0,105.6,119.2,-13.6,2022,1,Milwaukee Bucks,0.4,108.0,105.6,2.4,-0.4,-2.4000000000000057,13.600000000000009,-16.0
22100670,2022,1,Atlanta Hawks,0.2,106.2,115.2,-9.0,2022,1,Minnesota Timberwolves,0.6,121.0,115.2,5.8,-0.39999999999999997,-14.799999999999997,0.0,-14.8
22100687,2022,1,Atlanta Hawks,0.4,114.4,118.4,-4.0,2022,1,Miami Heat,0.8,109.0,101.8,7.2,-0.4,5.400000000000006,16.60000000000001,-11.2
22100725,2022,1,Atlanta Hawks,0.8,117.2,110.4,6.8,2022,1,Sacramento Kings,0.2,114.2,125.2,-11.0,0.6000000000000001,3.0,-14.799999999999997,17.8
22100737,2022,1,Atlanta Hawks,1.0,119.8,107.8,12.0,2022,1,Boston Celtics,0.6,111.0,94.8,16.2,0.4,8.799999999999997,13.0,-4.199999999999999
22100751,2022,1,Atlanta Hawks,1.0,117.2,103.4,13.8,2022,1,Los Angeles Lakers,0.4,106.0,107.2,-1.2,0.6,11.200000000000003,-3.799999999999997,15.0
22100767,2022,0,Atlanta Hawks,1.0,116.2,103.2,13.0,2022,0,Toronto Raptors,0.6,113.6,112.6,1.0,0.4,2.6000000000000085,-9.399999999999991,12.0
22100783,2022,1,Atlanta Hawks,0.8,114.2,102.8,11.4,2022,1,Phoenix Suns,1.0,118.0,110.2,7.8,-0.19999999999999996,-3.799999999999997,-7.400000000000006,3.6000000000000005
22100816,2022,1,Atlanta Hawks,0.4,112.2,114.0,-1.8,2022,1,Indiana Pacers,0.2,109.0,117.4,-8.4,0.2,3.200000000000003,-3.4000000000000057,6.6000000000000005
22100841,2022,0,Atlanta Hawks,0.4,113.0,112.2,0.8,2022,0,San Antonio Spurs,0.2,109.6,112.4,-2.8,0.2,3.4000000000000057,-0.20000000000000284,3.5999999999999996
22100867,2022,1,Atlanta Hawks,0.2,111.4,116.2,-4.8,2022,1,Cleveland Cavaliers,0.8,103.6,98.8,4.8,-0.6000000000000001,7.800000000000011,17.400000000000006,-9.6
22100906,2022,1,Atlanta Hawks,0.4,115.6,115.6,0.0,2022,1,Toronto Raptors,0.4,106.8,113.2,-6.4,0.0,8.799999999999997,2.3999999999999915,6.4
22100710,2022,1,Atlanta Hawks,0.6,117.4,108.8,8.6,2022,1,Chicago Bulls,0.6,113.2,112.6,0.6,0.0,4.200000000000003,-3.799999999999997,8.0
22100996,2022,1,Atlanta Hawks,0.4,114.0,116.4,-2.4,2022,1,Los Angeles Clippers,0.6,110.0,109.6,0.4,-0.19999999999999996,4.0,6.800000000000011,-2.8
22101016,2022,1,Atlanta Hawks,0.6,116.8,116.2,0.6,2022,1,Indiana Pacers,0.4,118.8,118.6,0.2,0.19999999999999996,-2.0,-2.3999999999999915,0.39999999999999997
22101021,2022,1,Atlanta Hawks,0.6,117.0,117.0,0.0,2022,1,Portland Trail Blazers,0.2,100.8,124.0,-23.2,0.39999999999999997,16.200000000000003,-7.0,23.2
22101047,2022,1,Atlanta Hawks,0.6,117.2,117.4,-0.2,2022,1,Memphis Grizzlies,0.8,124.4,113.6,10.8,-0.20000000000000007,-7.200000000000003,3.8000000000000114,-11.0
22101064,2022,0,Atlanta Hawks,0.8,118.2,113.6,4.6,2022,0,New Orleans Pelicans,0.4,118.2,115.4,2.8,0.4,0.0,-1.8000000000000114,1.7999999999999998
22101102,2022,1,Atlanta Hawks,0.4,111.2,114.2,-3.0,2022,1,Golden State Warriors,0.4,106.0,106.0,0.0,0.0,5.200000000000003,8.200000000000003,-3.0
22100452,2022,1,Atlanta Hawks,0.8,121.4,116.8,4.6,2022,1,Cleveland Cavaliers,0.2,107.4,113.4,-6.0,0.6000000000000001,14.0,3.3999999999999915,10.6
22101163,2022,1,Atlanta Hawks,0.8,124.2,116.0,8.2,2022,1,Brooklyn Nets,0.4,117.8,117.8,0.0,0.4,6.400000000000006,-1.7999999999999972,8.2
22101192,2022,1,Atlanta Hawks,0.8,125.8,116.2,9.6,2022,1,Washington Wizards,0.6,118.0,115.6,2.4,0.20000000000000007,7.799999999999997,0.6000000000000085,7.199999999999999
52100111,2022,1,Atlanta Hawks,0.6,117.4,112.6,4.8,2022,1,Charlotte Hornets,0.6,122.8,122.8,0.0,0.0,-5.3999999999999915,-10.200000000000003,4.8
42100103,2022,1,Atlanta Hawks,0.6,113.0,109.6,3.4,2022,1,Miami Heat,0.8,119.6,109.0,10.6,-0.20000000000000007,-6.599999999999994,0.5999999999999943,-7.199999999999999
42100104,2022,0,Atlanta Hawks,0.6,109.2,108.8,0.4,2022,0,Miami Heat,0.6,112.8,108.2,4.6,0.0,-3.5999999999999943,0.5999999999999943,-4.199999999999999
12200023,2022,1,Atlanta Hawks,0.2,97.4,109.4,-12.0,2022,1,Milwaukee Bucks,0.2,99.2,109.4,-10.2,0.0,-1.7999999999999972,0.0,-1.8000000000000007
22200005,2022,1,Atlanta Hawks,0.4,109.0,108.8,0.2,2022,1,Houston Rockets,0.6,119.2,111.6,7.6,-0.19999999999999996,-10.200000000000003,-2.799999999999997,-7.3999999999999995
22200020,2022,1,Atlanta Hawks,0.6,113.6,110.8,2.8,2022,1,Orlando Magic,0.8,108.8,106.0,2.8,-0.20000000000000007,4.799999999999997,4.799999999999997,0.0
22200038,2022,0,Atlanta Hawks,0.6,110.6,107.8,2.8,2022,0,Charlotte Hornets,0.2,109.0,110.6,-1.6,0.39999999999999997,1.5999999999999943,-2.799999999999997,4.4
22200134,2022,1,Atlanta Hawks,0.6,118.0,117.2,0.8,2022,1,New Orleans Pelicans,0.6,113.4,110.2,3.2,0.0,4.599999999999994,7.0,-2.4000000000000004
22200149,2022,1,Atlanta Hawks,0.6,119.2,118.8,0.4,2022,1,Milwaukee Bucks,1.0,114.4,102.0,12.4,-0.4,4.799999999999997,16.799999999999997,-12.0
22200162,2022,0,Atlanta Hawks,0.6,115.4,116.0,-0.6,2022,0,Utah Jazz,0.8,120.0,108.4,11.6,-0.20000000000000007,-4.599999999999994,7.599999999999994,-12.2
22200173,2022,1,Atlanta Hawks,0.6,116.2,116.4,-0.2,2022,1,Philadelphia 76ers,0.6,109.4,107.0,2.4,0.0,6.799999999999997,9.400000000000006,-2.6
22200214,2022,0,Atlanta Hawks,0.6,114.0,109.0,5.0,2022,0,Boston Celtics,1.0,122.2,112.0,10.2,-0.4,-8.200000000000003,-3.0,-5.199999999999999
22200235,2022,1,Atlanta Hawks,0.4,110.8,114.6,-3.8,2022,1,Toronto Raptors,0.6,112.0,114.8,-2.8,-0.19999999999999996,-1.2000000000000028,-0.20000000000000284,-1.0
22200263,2022,1,Atlanta Hawks,0.4,111.4,117.8,-6.4,2022,1,Sacramento Kings,1.0,131.0,117.2,13.8,-0.6,-19.599999999999994,0.5999999999999943,-20.200000000000003
22200293,2022,0,Atlanta Hawks,0.4,112.8,119.2,-6.4,2022,0,Miami Heat,0.4,103.4,107.4,-4.0,0.0,9.399999999999991,11.799999999999997,-2.4000000000000004
22200327,2022,1,Atlanta Hawks,0.4,112.2,110.4,1.8,2022,1,Denver Nuggets,0.8,120.4,110.6,9.8,-0.4,-8.200000000000003,-0.19999999999998863,-8.0
22200354,2022,0,Atlanta Hawks,0.4,112.6,111.0,1.6,2022,0,Oklahoma City Thunder,0.6,116.6,116.2,0.4,-0.19999999999999996,-4.0,-5.200000000000003,1.2000000000000002
22200400,2022,1,Atlanta Hawks,0.4,112.2,114.2,-2.0,2022,1,Chicago Bulls,0.4,116.8,117.4,-0.6,0.0,-4.599999999999994,-3.200000000000003,-1.4
22200454,2022,1,Atlanta Hawks,0.4,118.2,122.2,-4.0,2022,1,Orlando Magic,1.0,114.2,106.6,7.6,-0.6,4.0,15.600000000000009,-11.6
22200468,2022,0,Atlanta Hawks,0.6,120.2,123.2,-3.0,2022,0,Chicago Bulls,0.2,114.4,123.6,-9.2,0.39999999999999997,5.799999999999997,-0.3999999999999915,6.199999999999999
22200481,2022,1,Atlanta Hawks,0.4,117.2,120.8,-3.6,2022,1,Detroit Pistons,0.2,115.8,123.8,-8.0,0.2,1.4000000000000057,-3.0,4.4
22200517,2022,0,Atlanta Hawks,0.6,120.6,115.0,5.6,2022,0,Brooklyn Nets,1.0,125.8,113.4,12.4,-0.4,-5.200000000000003,1.5999999999999943,-6.800000000000001
22200530,2022,0,Atlanta Hawks,0.4,117.0,115.4,1.6,2022,0,Los Angeles Lakers,0.2,118.4,122.8,-4.4,0.2,-1.4000000000000057,-7.3999999999999915,6.0
22200620,2023,0,Atlanta Hawks,0.4,121.6,125.6,-4.0,2023,0,Milwaukee Bucks,0.6,108.4,115.4,-7.0,-0.19999999999999996,13.199999999999989,10.199999999999989,3.0
22200661,2023,1,Atlanta Hawks,0.6,111.6,113.2,-1.6,2023,1,Miami Heat,0.8,107.2,101.2,6.0,-0.20000000000000007,4.3999999999999915,12.0,-7.6
22200684,2023,1,Atlanta Hawks,0.8,116.6,112.6,4.0,2023,1,New York Knicks,0.6,114.8,112.8,2.0,0.20000000000000007,1.7999999999999972,-0.20000000000000284,2.0
22200694,2023,0,Atlanta Hawks,1.0,123.4,114.6,8.8,2023,0,Charlotte Hornets,0.2,116.0,125.0,-9.0,0.8,7.400000000000006,-10.400000000000006,17.8
22200745,2023,0,Atlanta Hawks,0.6,124.8,122.2,2.6,2023,0,Los Angeles Clippers,0.8,123.4,113.0,10.4,-0.20000000000000007,1.3999999999999915,9.200000000000003,-7.800000000000001
22200832,2023,1,Atlanta Hawks,0.4,117.4,116.2,1.2,2023,1,Phoenix Suns,0.8,110.4,108.8,1.6,-0.4,7.0,7.400000000000006,-0.40000000000000013
